,,Eastern Cape,,Free State,,Gauteng,,KwaZulu-Natal,,Limpopo,,Mpumalanga,,North West,,,Northern Cape,,Western Cape,,Out of Country,,Total,
AFRICAN SECURITY CONGRESS,ASC,4427,0.0021910125427673077,1158,0.0012764381423526145,4225,0.0009311495873629888,8493,0.0023252076547599135,1745,0.0011551946022952955,2207,0.0017350915384609336,1831,0.0018416447064030094,,574,0.0013971307704665054,1599,0.0007570413366348353,3,0.00015089025248968916,26262,0.0015060749668857917
AFRICAN TRANSFORMATION MOVEMENT,ATM,27935,0.01382560094470403,6100,0.006723896950216708,9948,0.002192444046174441,16109,0.004410310857238602,2839,0.0018794254876311428,5982,0.004702907831025512,2535,0.002549737482649715,,612,0.001489623748302267,4761,0.0022540799272785807,9,0.0004526707574690675,76830,0.0044060520792717755
AFRIKAN ALLIANCE OF SOCIAL DEMOCRATS,AASD,3229,0.001598097921977781,2404,0.002649876765298519,2486,0.0005478906211087314,5099,0.001396000686638502,1592,0.0010539081987702638,1591,0.001250806813634502,1270,0.0012773832753314156,,464,0.0011293879398893004,696,0.0003295189307678833,3,0.00015089025248968916,18834,0.001080093516347841
AGANG SOUTH AFRICA,AGANG SA,1882,0.0009314401638780377,1004,0.0011066873013143566,2579,0.0005683869315524611,3105,0.0008500847483844967,1607,0.0010638382383315415,1151,0.0009048891530441933,1418,0.0014262436885196436,,336,0.0008178326461267349,767,0.0003631336492801242,7,0.0003520772558092747,13856,0.0007946148328828547
AL JAMA-AH,ALJAMA,1079,0.0005340190950182799,204,0.00022486475046626367,7064,0.0015568380319839414,5731,0.001569029208692931,331,0.00021912287298552597,527,0.00041431501620702856,482,0.00048480215646436403,,154,0.0003748399628080868,15866,0.0075117059706368335,30,0.0015089025248968917,31468,0.0018046290098987928
ALLIANCE FOR TRANSFORMATION FOR ALL,ATA,4577,0.0022652506004621565,253,0.00027887638170570936,1345,0.0002964251349120047,1821,0.0004985521181346758,193,0.00012776650902177194,266,0.0002091229493568683,339,0.0003409708112892519,,94,0.00022879841885688415,5378,0.002546196565617351,0,0,14266,0.0008181275408420039
AZANIAN PEOPLE'S ORGANISATION,AZAPO,1431,0.0007082310704088587,800,0.0008818225508480928,3842,0.000846740050804403,2162,0.000591910861838094,2215,0.001466335841881994,450,0.0003537794256037246,768,0.0007724648468145883,,586,0.001426339079256746,559,0.0002646567274414465,10,0.0005029675082989639,12823,0.0007353742784394375
BETTER RESIDENTS ASSOCIATION,BRA,162,8.017710231043683e-05,111,0.0001223528789301729,565,0.00012452059570652985,428,0.00011717754341660695,500,0.00033100131870925374,6971,0.005480436390852364,113,0.0001136569370964173,,49,0.00011926726089348216,279,0.00013209164035091873,1,5.0296750829896386e-05,9179,0.0005263979179439755
BLACK FIRST LAND FIRST,BLF,667,0.0003301118965497615,582,0.0006415259057419876,7009,0.0015447165580656068,7998,0.0021896868977710807,479,0.0003170992633234651,1259,0.0009897962151890873,749,0.0007533543883647483,,187,0.00045516281198124825,857,0.0004057438558449367,9,0.0004526707574690675,19796,0.0011352623579495519
CAPITALIST PARTY OF SOUTH AFRICA,ZACP,732,0.00036228172155086273,306,0.0003372971256993955,7515,0.0016562341181142865,2239,0.0006129918684808014,250,0.00016550065935462687,365,0.00028695442298968773,347,0.00034901732011023717,,107,0.0002604407533796447,3822,0.0018095134387857037,232,0.011668846192535963,15915,0.0009126945052923378
CHRISTIAN POLITICAL MOVEMENT,CPM,863,0.00042711629193769744,144,0.00015872805915265672,1248,0.00027504726272875975,961,0.00026310191407326935,182,0.00012048448001016837,278,0.00021855706737296764,365,0.0003671219649574541,,71,0.00017281582700892314,866,0.000410004876501418,2,0.00010059350165979277,4980,0.0002855933796013724
COMPATRIOTS OF SOUTH AFRICA,CSA,722,0.0003573325177045395,182,0.00020061463031794113,361,7.956094699125182e-05,867,0.00023736665921074353,145,9.599038242568359e-05,205,0.00016116618277503008,182,0.00018305807567741547,,134,0.00032615944815768595,608,0.00028785561768228884,0,0,3406,0.00019532752026551697
CONGRESS  OF THE PEOPLE,COPE,4902,0.0024260997254676626,3790,0.00417763433464284,12358,0.0027235849942323824,5101,0.0013965482452525985,3233,0.002140254526774035,1947,0.0015306856481121151,2809,0.002825330409768462,,3413,0.008307329825090911,9726,0.004604742989437403,182,0.009154008651041143,47461,0.002721796664510188
DEMOCRATIC ALLIANCE,DA,303309,0.1501138069424462,154686,0.1705070038756101,1112990,0.2452923501157711,520169,0.14241150836792763,81066,0.05366590580496873,116050,0.09123578298069386,112417,0.11307054776608799,,99977,0.24334659066015646,1107065,0.5241363147852682,14802,0.7444925057841263,3622531,0.20774515481942557
DEMOCRATIC LIBERAL CONGRESS,DLC,759,0.0003756445719359355,223,0.00024580803604890586,854,0.0001882134313865071,7181,0.0019660092039127442,227,0.00015027459869400119,210,0.00016509706528173814,242,0.00024340689183480516,,157,0.00038214204000564694,805,0.00038112462538526727,2,0.00010059350165979277,10660,0.0006113304069378775
ECONOMIC EMANCIPATION FORUM,ECOFORUM,400,0.00019796815385293045,266,0.00029320599815699087,1398,0.00030810582796058186,1859,0.0005089557318025055,647,0.00042831570640977434,742,0.0005833429639954747,580,0.0005833718895214339,,85,0.00020689218726420376,344,0.00016286567842550552,0,0,6321,0.000362497139048248
ECONOMIC FREEDOM FIGHTERS,EFF,155899,0.077157593043795,105228,0.1159905292258039,613704,0.1352544914468676,363832,0.09960967284194146,198439,0.1313671413666912,146426,0.11511668038544662,169880,0.17086761481362273,,39879,0.09706651218716685,88428,0.0418659482901471,765,0.038477014384870736,1882480,0.1079565914120465
FORUM 4 SERVICE DELIVERY,F4SD,786,0.0003890074223210083,223,0.00024580803604890586,729,0.00016066462702665535,1253,0.0003430454717313283,559,0.0003700594743169457,821,0.000645450907601462,2868,0.0028846734123232284,,54,0.0001314373895560824,271,0.0001283040664340465,0,0,7564,0.00043378078781220505
FREE DEMOCRATS,FREE DEMS,171,8.463138577212777e-05,143,0.00015762578096409658,781,0.00017212492964035366,538,0.00014729326719190315,148,9.797639033793911e-05,147,0.0001155679456972167,154,0.00015489529480396694,,57,0.00013873946675364252,438,0.00020736967194875412,3,0.00015089025248968916,2580,0.00014795801593806042
FRONT NASIONAAL/FRONT NATIONAL,FN,469,0.00023211766039256095,424,0.0004673659519494892,2737,0.0006032086202633136,669,0.0001831583564152104,320,0.00021184084397392238,528,0.00041510119270837017,439,0.00044155217155156804,,222,0.0005403537126194498,1289,0.0006102728473560367,47,0.00236394728900513,7144,0.0004096945991711254
GOOD,GOOD,4445,0.0021999211096906898,573,0.0006316054020449465,9983,0.002200157711395199,2808,0.000768772294191197,459,0.0003038592105750949,565,0.00044418972325800974,1094,0.001100360081269739,,3088,0.007516271462021896,47283,0.022385982188933656,110,0.005532642591288603,70408,0.00403776278533603
INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,ICOSA,198,9.799423615720058e-05,80,8.818225508480929e-05,1191,0.00026248500794066735,1378,0.00037726788511234673,65,4.303017143220299e-05,94,7.390059112611136e-05,91,9.152903783870774e-05,,253,0.0006158085103275711,9033,0.004276644398888347,3,0.00015089025248968916,12386,0.0007103131726390761
INKATHA FREEDOM PARTY,IFP,1021,0.000505313712709605,799,0.0008807202726595327,45840,0.010102697534844829,532563,0.14580472909948236,706,0.0004673738620174663,5786,0.004548817236762557,955,0.0009605519905051196,,138,0.0003358955510877661,1012,0.000479128100484336,19,0.0009556382657680314,588839,0.03376877912672541
INTERNATIONAL REVELATION CONGRESS,IRC,312,0.00015441516000528575,107,0.00011794376617593242,684,0.00015074705745710872,1343,0.0003676856093656616,982,0.0006500865899449743,387,0.00030425030601920314,247,0.000248435959847921,,58,0.00014117349248616255,127,6.012773593034652e-05,0,0,4247,0.0002435572456158692
LAND PARTY,LAND,186,9.205519154161266e-05,89,9.810275878185033e-05,452,9.961647656522389e-05,515,0.00014099634312979577,211,0.00013968255649530507,98,7.70452971314778e-05,118,0.0001186860051095331,,55,0.00013387141528860242,5348,0.00253199316342908,2,0.00010059350165979277,7074,0.00040568023439761217
MINORITY FRONT,MF,147,7.275329654095194e-05,78,8.597769870768906e-05,1154,0.00025433056185015124,9792,0.0026808469746154562,71,4.700218725671403e-05,157,0.0001234297107106328,109,0.00010963368268592465,,39,9.492700356828172e-05,408,0.0001931662697604833,6,0.00030178050497937833,11961,0.0006859402436570313
NATIONAL FREEDOM PARTY,NFP,506,0.000250429714623957,204,0.00022486475046626367,3568,0.000786353071647608,52431,0.014354522847841401,183,0.00012114648264758686,1499,0.0011784785755110736,481,0.0004837963428617409,,98,0.00023853452178696432,2245,0.0010628879304222672,5,0.00025148375414948195,61220,0.003510848734778317
NATIONAL PEOPLES AMBASSADORS,NPA,168,8.314662461823079e-05,72,7.936402957632836e-05,197,4.341691567112634e-05,1132,0.00030991817557850254,84,5.560822154315463e-05,110,8.647941514757712e-05,74,7.443020659411399e-05,,12,2.920830879024053e-05,130,6.15480761491736e-05,0,0,1979,0.00011349182695403936
NATIONAL PEOPLE'S FRONT,NAPF,149,7.37431373102166e-05,55,6.062530037080638e-05,1091,0.00024044596445278596,2243,0.0006140869857089939,96,6.355225319217671e-05,158,0.0001242158872119744,91,9.152903783870774e-05,,23,5.5982591847961015e-05,113,5.3499481575820126e-05,0,0,4019,0.00023048188606785458
PAN AFRICANIST CONGRESS OF AZANIA,PAC,7844,0.0038821554970559662,1359,0.0014979960582531978,10842,0.0023894730949561003,2342,0.0006411911371067606,3134,0.0020747162656696025,1516,0.0011918435760338811,1007,0.0010128542978415241,,417,0.0010149887304608583,4183,0.0019804277117845626,33,0.0016597927773865809,32677,0.001873962824344186
PATRIOTIC ALLIANCE,PA,448,0.0002217243323152821,3383,0.0037290071118988724,1206,0.0002657908644638496,513,0.00014044878451569947,95,6.28902505547582e-05,125,9.827206266770128e-05,160,0.0001609301764197059,,78,0.00018985400713656344,652,0.00030868727422508603,0,0,6660,0.00038193813416569083
PEOPLE'S REVOLUTIONARY MOVEMENT,PRM,259,0.00012818437961977246,78,8.597769870768906e-05,163,3.592364088524667e-05,1891,0.0005177166696280461,124,8.208832703989493e-05,116,9.119647415562679e-05,84,8.44883426203456e-05,,20,4.868051465040088e-05,109,5.1605694617384016e-05,0,0,2844,0.00016309790594102474
POWER OF AFRICANS UNITY,PAU,239,0.00011828597192712595,397,0.00043760444085836606,429,9.454749656301117e-05,631,0.00017275474274738083,298,0.00019727678595071524,372,0.000292457658499079,170,0.00017098831244593751,,54,0.0001314373895560824,95,4.497744026285763e-05,0,0,2685,0.0001539795630983303
SOCIALIST REVOLUTIONARY WORKERS PARTY,SRWP,4448,0.0022014058708445866,1366,0.0015057120055731186,5903,0.0013009647370896386,4173,0.001142481048311918,1266,0.0008380953389718305,1797,0.0014127591729108735,1736,0.001746092414153809,,527,0.0012827315610380633,3201,0.0015155030134884975,22,0.0011065285182577204,24439,0.0014015294385698676
SOUTH AFRICAN MAINTANANCE AND ESTATE BENEFICIARIES ASSOCIATI,SAMEBA,60,2.9695223077939567e-05,38,4.188657116528441e-05,138,3.041388001327632e-05,191,5.22918476461961e-05,1809,0.0011975627710900801,67,5.2673825589887885e-05,60,6.034881615738971e-05,,16,3.8944411720320704e-05,66,3.124748481419583e-05,0,0,2445,0.0001402160267319991
SOUTH AFRICAN NATIONAL CONGRESS OF TRADITIONAL AUTHORITIES,SANCOTA,211,0.00010442820115742081,112,0.000123455157118733,419,9.234359221422303e-05,221,6.050522685764051e-05,159,0.0001052584193495427,2336,0.0018365083071340013,54,5.4313934541650744e-05,,87,0.00021176023872924386,114,5.397292831542916e-05,1,5.0296750829896386e-05,3714,0.00021299072526897533
UNITED DEMOCRATIC MOVEMENT,UDM,46258,0.022894027152322142,1036,0.0011419602033482803,13160,0.0029003381230051912,3677,0.001006686512016037,1483,0.0009817499112916466,982,0.0007720253243174612,3420,0.0034398825209712137,,246,0.0005987703301999309,7650,0.0036218675580090617,118,0.005935016597927774,78030,0.004474869761103432
VRYHEIDSFRONT PLUS,VF Plus,17699,0.00875959588760754,33660,0.037102683826933505,175152,0.03860182544989402,16460,0.004506407394012501,24042,0.015915867408815756,33842,0.026605785158402773,40225,0.04045885216551669,,13522,0.03291289595513604,59354,0.02810095778275423,908,0.04566944975354592,414864,0.023791648962840115
WOMEN FORWARD,WF,268,0.0001326386630814634,350,0.0003857973659960406,2247,0.0004952173071726949,882,0.00024147334881646575,247,0.00016351465144237134,185,0.00014544265274819788,465,0.00046770332521977025,,88,0.0002141942644617639,1342,0.0006353655245553151,34,0.0017100895282164772,6108,0.00035028200052312906
